p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.68844727586888e-55,1.50104582374404,0.118,0.039,8.51315116493091e-52,0,4930558J18Rik
4.43468041569896e-55,1.14228283070425,0.207,0.094,2.23596586559542e-51,0,Gm15489
2.74306261476732e-53,1.6195200512605,0.094,0.028,1.38305217036568e-49,0,4930544I03Rik
1.74773599108587e-50,1.46322109793527,0.103,0.034,8.81208486705495e-47,0,Gm26737
3.58634304307997e-49,0.765801767790259,0.339,0.195,1.80823416232092e-45,0,9330159M07Rik
3.26141065789765e-47,0.568240609898278,0.477,0.309,1.644403253712e-43,0,1600010M07Rik
9.07665070023926e-47,1.07393109906635,0.159,0.068,4.57644728306064e-43,0,2500002B13Rik
2.62004523301769e-46,0.467855555376246,0.698,0.526,1.32102680648752e-42,0,6720427I07Rik
9.10356648206914e-44,1.29356321443259,0.124,0.048,4.59001822025926e-40,0,Gm47207
4.03065035063618e-43,0.945909226414666,0.225,0.117,2.03225390679076e-39,0,Gm16576
6.88292091405433e-43,0.363564350558054,0.851,0.718,3.47036872486619e-39,0,Ftx
2.10645763249201e-42,1.04696534560303,0.169,0.078,1.06207593830247e-38,0,9630013D21Rik
4.580777829069e-42,0.221822508714286,0.993,0.976,2.30962818141659e-38,0,Kcnq1ot1
9.7774520160561e-41,0.330544664796112,0.869,0.737,4.92979130649548e-37,0,Gas5
8.14940782244112e-40,0.260143656105705,0.723,0.536,4.10893142407481e-36,0,C230057M02Rik
2.63335940655428e-39,0.873905039700662,0.291,0.173,1.32773981278467e-35,0,Gm16070
1.76199743627007e-38,1.49842034607924,0.085,0.029,8.88399107367369e-35,0,Gm20667
2.91538801482677e-38,0.466781995256913,0.43,0.283,1.46993863707566e-34,0,Nr6a1os
3.49887544469989e-37,0.543645354112988,0.439,0.298,1.76413299921768e-33,0,B130055M24Rik
8.47729422854232e-37,0.450055510567478,0.475,0.32,4.27425175003104e-33,0,Snhg5
1.58482997450098e-36,0.788525467805061,0.241,0.134,7.99071273143396e-33,0,AA465934
4.56783090212444e-35,0.628210818188708,0.29,0.174,2.30310034085114e-31,0,Gm48623
1.74871729671007e-34,0.684227809337195,0.287,0.172,8.81703261001219e-31,0,Gm26827
1.80120782602166e-34,0.744147692616812,0.219,0.121,9.08168985880122e-31,0,2810429I04Rik
1.84792067581487e-34,1.08115363089287,0.111,0.047,9.31721604745858e-31,0,Gm48427
2.75611286142165e-34,0.445585793856585,0.406,0.262,1.3896321047288e-30,0,Mir17hg
4.51818310816951e-34,1.09062121179649,0.106,0.043,2.27806792313907e-30,0,4930520O04Rik
5.21689942904655e-34,1.24144255075515,0.079,0.028,2.63036069212527e-30,0,Gm33782
7.63481809605476e-34,0.434160390824739,0.598,0.451,3.84947528403081e-30,0,Gm5577
8.36408511333302e-34,0.267231777068347,0.927,0.863,4.21717171414251e-30,0,Mir6236
1.28139152254531e-32,0.314154818295701,0.712,0.545,6.46077605667345e-29,0,Gnasas1
2.25358621351266e-32,1.43426556515481,0.076,0.027,1.13625816885308e-28,0,Gm42743
1.28921451607302e-31,0.494733803961086,0.327,0.206,6.50021959004015e-28,0,Snhg4
1.42652105162829e-31,0.516063664196989,0.403,0.272,7.19251914230985e-28,0,Snhg1
8.18916202618673e-31,1.06107488228635,0.106,0.046,4.12897549360335e-27,0,Gm11523
8.85962181497155e-31,0.382206177985947,0.556,0.412,4.46702131910865e-27,0,B230334C09Rik
1.4725160637205e-28,0.460327302321164,0.288,0.18,7.42442599327876e-25,0,C030034L19Rik
1.42503786872078e-27,0.551224066260397,0.287,0.181,7.18504093409016e-24,0,1700086O06Rik
8.49595461890382e-27,0.264932876678084,0.795,0.679,4.2836603188513e-23,0,Gm15564
2.94580669883411e-26,0.423196084522768,0.377,0.258,1.48527573755216e-22,0,C79798
4.66349709560113e-26,0.48276825932279,0.31,0.201,2.35133523560209e-22,0,1110038B12Rik
1.24578114816009e-25,1.49142874746597,0.048,0.015,6.28122854902317e-22,0,2010110K18Rik
2.37799949965101e-25,1.24068105836333,0.069,0.027,1.19898734772404e-21,0,Gm49503
5.52119308309734e-25,0.224019068997722,0.837,0.703,2.78378555249768e-21,0,Gm2694
5.62151242677031e-25,0.421359370991071,0.367,0.251,2.83436656557759e-21,0,C630043F03Rik
1.40648638124204e-23,0.602381118688631,0.192,0.113,7.09150433422238e-20,0,Gm47467
2.48811068298071e-23,0.380939143748411,0.52,0.396,1.25450540635888e-19,0,Gm11944
3.46622732877235e-23,0.170024302027425,0.977,0.898,1.74767181916702e-19,0,Mir9-3hg
7.25742776462426e-23,0.192720986645968,0.363,0.25,3.65919507892355e-19,0,Gm20559
2.16484640785913e-22,0.673246733112023,0.187,0.111,1.09151555884257e-18,0,Gm19605
4.95097745828466e-22,0.308791014897094,0.534,0.404,2.49628283446713e-18,0,5430416N02Rik
8.77131782701847e-22,0.807712448058091,0.123,0.065,4.42249844838271e-18,0,Gm13936
1.59987107602617e-21,1.47218680274993,0.069,0.029,8.06654996532395e-18,0,Gm41335
8.38658486233628e-21,1.17453112425363,0.072,0.031,4.22851608758995e-17,0,Gm46378
9.74991638085723e-21,0.886952131217749,0.08,0.036,4.91590783922822e-17,0,BB557941
1.91174312524879e-20,0.599324427580434,0.161,0.094,9.63900883750441e-17,0,Gm47200
4.13315206199002e-20,0.327638569374294,0.453,0.338,2.08393526965537e-16,0,Snhg17
6.40930728954364e-20,0.611703183456827,0.163,0.096,3.2315727353879e-16,0,4933404O12Rik
8.73447528967444e-20,1.41591090320363,0.042,0.014,4.40392244105385e-16,0,Gm2788
9.30276782750298e-20,1.31204525540425,0.051,0.019,4.690455538627e-16,0,Gm26665
5.42778319960627e-19,0.609808037069765,0.156,0.092,2.73668828924148e-15,0,Gm19426
8.87225560285113e-19,0.965340103775618,0.08,0.038,4.47339127495754e-15,0,Gm21817
1.10042123793367e-18,1.11021221092744,0.055,0.022,5.54832388166154e-15,0,Gm14091
2.42270439550778e-18,0.37154250482771,0.375,0.273,1.22152755621502e-14,0,Snhg6
2.685452336351e-18,0.329079566946865,0.414,0.312,1.35400506798817e-14,0,Gm19951
2.73138936266962e-18,0.585787660144277,0.182,0.114,1.37716651665802e-14,0,Gm4890
5.92987590571492e-18,0.346706892359194,0.403,0.3,2.98984343166146e-14,0,Zfas1
6.62822511269181e-18,0.227939118915265,0.606,0.494,3.34195110181921e-14,0,Gm48099
1.15128424871573e-17,0.262594578309232,0.39,0.286,5.80477518202469e-14,0,1110002L01Rik
1.21998298394858e-17,0.486740953678421,0.191,0.122,6.15115420506876e-14,0,Gm30054
1.28972881180941e-17,0.124491251556178,0.995,0.975,6.50281266914304e-14,0,Lncppara
1.7195663410608e-17,1.6441400139924,0.032,0.01,8.67005349162857e-14,0,Gm6567
1.83758866580011e-17,1.57885217049957,0.037,0.013,9.26512205296417e-14,0,Gm43549
3.26042467489784e-17,0.53001714702435,0.227,0.152,1.64390612108349e-13,0,4930549G23Rik
1.65637721704881e-16,0.180412218615246,0.91,0.86,8.3514539283601e-13,0,Gm49797
1.71166500364876e-16,0.427543311281384,0.243,0.165,8.63021494839707e-13,0,Snhg12
2.24965795058009e-16,0.813624852938894,0.073,0.035,1.13427753868248e-12,0,6330403L08Rik
2.32345191824566e-16,0.294784847650601,0.337,0.242,1.17148445717946e-12,0,Gm47271
2.78352387922006e-16,1.00539110829743,0.073,0.036,1.40345273990275e-12,0,2810408I11Rik
4.06863884577431e-16,0.337445637596992,0.318,0.229,2.0514077060394e-12,0,2410006H16Rik
4.66619839642666e-16,0.425673546050368,0.26,0.182,2.35269723147832e-12,0,Cep83os
4.7616010568634e-16,0.296600050009284,0.314,0.223,2.40079925287053e-12,0,Tsix
6.429526861243e-16,0.641425203008291,0.182,0.119,3.24176744343872e-12,0,A330008L17Rik
7.29078723136359e-16,0.915873603831569,0.073,0.036,3.67601492205352e-12,0,Platr14
9.2970885468766e-16,0.441648520139687,0.199,0.132,4.68759204533518e-12,0,D130079A08Rik
1.10718029175454e-15,0.593781323617431,0.398,0.311,5.58240303102637e-12,0,Gm20275
1.16379096125776e-15,0.852722107916079,0.089,0.048,5.86783402666165e-12,0,Gm11491
1.5804825473645e-15,1.40081989455329,0.042,0.016,7.96879300381183e-12,0,Gm45455
2.33199915969165e-15,1.59003390780755,0.022,0.006,1.17579397631653e-11,0,Gm13977
2.37914216142388e-15,0.641139134570903,0.122,0.072,1.19956347778992e-11,0,C130073E24Rik
2.49175104016311e-15,1.40884228566447,0.032,0.011,1.25634087445024e-11,0,Gm44238
4.28591835869273e-15,1.4915362475986,0.05,0.022,2.16096003645287e-11,0,A330093E20Rik
5.28062408602379e-15,0.980777687508817,0.067,0.032,2.6624906641732e-11,0,5430427M07Rik
8.46838381178029e-15,0.888799338553071,0.065,0.031,4.26975911789962e-11,0,2810455O05Rik
9.93507013786935e-15,0.52564089221262,0.129,0.077,5.00926236351373e-11,0,Gm43439
1.75536533265153e-14,0.305114411357232,0.253,0.177,8.850552007229e-11,0,Hectd2os
2.12445944910912e-14,0.316001795334517,0.322,0.237,1.07115245424082e-10,0,Snhg16
2.25001446102092e-14,0.477141711930881,0.124,0.074,1.13445729124675e-10,0,4930438E09Rik
3.02813138545838e-14,0.542703437050706,0.124,0.074,1.52678384454811e-10,0,Gm15991
3.0372943226473e-14,0.383048413731299,0.234,0.163,1.53140379747877e-10,0,Gm16091
3.19355117876412e-14,0.399351558178389,0.224,0.156,1.61018850433287e-10,0,Gm15246
3.25729921858481e-14,0.779593136350114,0.081,0.043,1.64233026601046e-10,0,Gm42836
4.11903251647266e-14,0.443896566879118,0.162,0.104,2.07681619480551e-10,0,Gm17590
6.02985705685685e-14,0.61892804591519,0.104,0.06,3.04025392806722e-10,0,2500004C02Rik
6.15268641667071e-14,0.782709803825842,0.081,0.043,3.10218449128537e-10,0,Ccdc34os
7.31704570164169e-14,0.334383175701072,0.298,0.218,3.68925444276774e-10,0,D330041H03Rik
7.94616478137436e-14,0.607978730311742,0.118,0.071,4.00645628276895e-10,0,Gm11520
1.62426699882525e-13,0.369275780161501,0.238,0.168,8.18955420807693e-10,0,Gt(ROSA)26Sor
2.02222936711264e-13,0.263117615444635,0.417,0.322,1.01960804689819e-09,0,Gm16599
4.04895029815938e-13,0.487467255237785,0.182,0.124,2.04148074033196e-09,0,Gm42984
4.30620139559014e-13,1.14269973589624,0.048,0.022,2.17118674365655e-09,0,Gm50445
5.44569244575841e-13,0.462443239999604,0.171,0.114,2.74571813115139e-09,0,Snhg15
8.00187145663485e-13,1.01172955801931,0.04,0.017,4.03454358843529e-09,0,Gm39244
8.31139565382866e-13,0.768532177120473,0.086,0.048,4.19060568866041e-09,0,Gm12339
8.63405323318381e-13,0.165236379280978,0.678,0.575,4.35328964017128e-09,0,Jpx
8.9331484750124e-13,0.579557139680033,0.099,0.058,4.50409346110125e-09,0,Gm35438
9.47626144387849e-13,0.520466884000305,0.089,0.05,4.77793102000354e-09,0,Gm34868
1.26379309623925e-12,0.214771255199506,0.267,0.196,6.37204479123828e-09,0,Otx2os1
1.39156337351419e-12,0.211670243453736,0.509,0.408,7.01626252925857e-09,0,Gm5089
2.0797250905428e-12,1.06472152259327,0.046,0.021,1.04859739065168e-08,0,BC048559
2.35942379641008e-12,0.691599364967945,0.099,0.058,1.18962147814996e-08,0,Gm48622
4.51770287957968e-12,0.730764932301896,0.064,0.033,2.27782579188407e-08,0,Gm13938
4.533936304863e-12,0.34711405335688,0.158,0.105,2.28601068491192e-08,0,Gm2061
5.21831348298876e-12,0.189580132442019,0.505,0.406,2.63107365812293e-08,0,Gm28039
6.07789280403446e-12,0.391002524773318,0.182,0.125,3.06447355179417e-08,0,Gm16973
1.14879095143453e-11,0.340245404375689,0.236,0.172,5.79220397713288e-08,0,6230400D17Rik
1.23302740453609e-11,0.956472391781039,0.056,0.028,6.21692417367094e-08,0,Gm16568
1.32075228858114e-11,0.430009219761385,0.342,0.271,6.65923303902613e-08,0,C230014O12Rik
1.72730079029846e-11,0.463987014585745,0.158,0.107,8.70905058468483e-08,0,Sp3os
1.78331823522411e-11,0.647843987419851,0.077,0.044,8.99149054199997e-08,0,Gm15942
1.82987336576443e-11,0.176253071186292,0.418,0.331,9.22622151018424e-08,0,Gm13483
2.15420896742904e-11,0.397594219559362,0.149,0.099,1.08615216137772e-07,0,A730090N16Rik
2.21798511035594e-11,0.477024547962116,0.144,0.096,1.11830809264146e-07,0,1700048O20Rik
2.43138877757017e-11,0.571827834675006,0.103,0.063,1.22590622165088e-07,0,Gm48796
3.21090560171147e-11,0.835398817520747,0.062,0.033,1.61893860438293e-07,0,Gm28154
3.89893303790414e-11,0.360071459066703,0.196,0.138,1.96584203771127e-07,0,Pard3bos1
4.58501994227364e-11,1.36200576472388,0.027,0.01,2.31176705489437e-07,0,Gm38973
5.20152503299206e-11,0.39756965335044,0.137,0.091,2.6226089216346e-07,0,9630014M24Rik
5.59464139421035e-11,0.50595604809205,0.119,0.076,2.82081819096086e-07,0,Snhg8
6.07936373529180e-11,0.253709339677508,0.199,0.141,3.06521519533413e-07,0,B130034C11Rik
6.62621418986359e-11,0.37583232816861,0.23,0.17,3.34093719452922e-07,0,1700123M08Rik
8.94547480416148e-11,0.161530949621253,0.648,0.556,4.51030839625822e-07,0,5530601H04Rik
9.49345712345993e-11,0.548627742086845,0.103,0.064,4.7866010816485e-07,0,Gm44507
1.02487808669583e-10,1.11307518873734,0.031,0.013,5.16743531312035e-07,0,Gm20628
1.16132243228623e-10,0.247511171876288,0.34,0.265,5.85538770358719e-07,0,Trmt61b
1.17558635996632e-10,0.389787813071988,0.132,0.086,5.92730642695019e-07,0,AA386476
1.22327870051317e-10,0.33179385787414,0.154,0.105,6.16777120798742e-07,0,Gm28198
1.34731023643177e-10,1.85522849348285,0.019,0.006,6.79313821208898e-07,0,Gm11762
1.69116730624877e-10,0.368220994367053,0.197,0.141,8.52686555810631e-07,0,Gm13830
2.36196569552069e-10,0.609401274429356,0.068,0.038,1.19090310368153e-06,0,Gm10649
2.63080217730141e-10,0.654033536406008,0.068,0.038,1.32645045779537e-06,0,Gm27010
3.60156175775836e-10,1.00853212413588,0.041,0.02,1.81590743826177e-06,0,Gm14508
3.69999850238058e-10,0.342868801044215,0.124,0.081,1.86553924490029e-06,0,Gm44777
3.96174538107752e-10,0.283580073799423,0.196,0.14,1.99751202113929e-06,0,C230035I16Rik
6.31041674724255e-10,1.11485829817503,0.044,0.022,3.18171212395969e-06,0,Gm43824
6.46509234899268e-10,1.46339276754352,0.044,0.022,3.25969956236211e-06,0,D030068K23Rik
6.50864686683993e-10,0.847344716774679,0.036,0.017,3.28165975026069e-06,0,Gm10062
7.02189790432159e-10,0.154929604123112,0.655,0.563,3.54044092335895e-06,0,Gm17750
7.16703758973614e-10,0.362676147011188,0.204,0.149,3.61362035274496e-06,0,Gm12064
7.40321141110691e-10,0.215266145752874,0.201,0.144,3.7326991934801e-06,0,Gm9929
8.40525987682534e-10,2.19587631526136,0.013,0.004,4.23793202989533e-06,0,Gm45341
8.87079159392089e-10,0.23392078279349,0.305,0.236,4.47265312165491e-06,0,6030442K20Rik
9.09292522021957e-10,0.598607995280166,0.073,0.043,4.58465289603471e-06,0,Gm14820
2.10303884959116e-09,0.765923821036778,0.039,0.019,1.06035218796386e-05,0,Igf2os
2.12692974285671e-09,0.661300098274105,0.065,0.037,1.07239797634835e-05,0,Lrrc75aos2
2.19234300883828e-09,0.131598884814292,0.362,0.284,1.10537934505626e-05,0,A730060N03Rik
2.21696083413038e-09,0.912826432405972,0.028,0.012,1.11779165256854e-05,0,Gm29481
2.39019443964759e-09,1.43487928849346,0.019,0.007,1.20513603647031e-05,0,Gm16212
2.69328640941742e-09,0.305287692644808,0.164,0.116,1.35795500762826e-05,0,Gm26590
4.04221171462479e-09,0.230781979148963,0.252,0.191,2.03808314651382e-05,0,Gm26728
4.2562873508975e-09,0.323654285120412,0.187,0.137,2.14602008232252e-05,0,4930581F22Rik
4.63564689255004e-09,0.369617916585191,0.135,0.093,2.33729316322373e-05,0,Gm10501
4.68830229037151e-09,0.793381730474419,0.048,0.026,2.36384201480532e-05,0,Gm26916
4.81299512671979e-09,0.258580186539189,0.233,0.176,2.42671214289212e-05,0,Gm47350
5.12126597140459e-09,0.923919653179548,0.036,0.017,2.5821423027822e-05,0,Gm16036
5.73602103009575e-09,0.500807759139368,0.139,0.098,2.89210180337428e-05,0,A330015K06Rik
5.79651408115906e-09,0.354098429744218,0.193,0.143,2.9226023997204e-05,0,Gm36995
6.16139982230353e-09,0.257655024274937,0.202,0.149,3.10657779040544e-05,0,A630072M18Rik
6.89581933482924e-09,0.544240018326921,0.106,0.07,3.4768721086209e-05,0,AV099323
1.01556162149912e-08,0.319219244760521,0.132,0.091,5.12046169559858e-05,0,Gm19522
1.55034182097723e-08,0.479804338716322,0.089,0.057,7.81682346136718e-05,0,C130036L24Rik
1.56350559428067e-08,0.182377988549489,0.279,0.218,7.88319520636313e-05,0,Gm35040
1.62664073987479e-08,0.701806733853716,0.067,0.04,8.20152261044868e-05,0,Gm29666
1.66845837203186e-08,0.703239524707409,0.055,0.031,8.41236711178463e-05,0,4930447A16Rik
1.68545156545566e-08,1.12309247089853,0.018,0.006,8.49804679302745e-05,0,BC048644
1.93654710161646e-08,0.184616588163664,0.238,0.179,9.76407048635019e-05,0,Gm26749
1.98143099914699e-08,1.24126040691836,0.04,0.02,9.99037509769912e-05,0,A830012C17Rik
2.35161574678251e-08,0.260932263302632,0.241,0.185,0.000118568465952774,0,Gm11508
2.36493372816629e-08,0.459835557178778,0.136,0.097,0.000119239958574145,0,Pantr2
2.47019933004037e-08,1.93983941835563,0.01,0.002,0.000124547450220635,0,2700089I24Rik
2.99074424485822e-08,0.51699268588758,0.099,0.066,0.000150793324825751,0,BC006965
3.10104147668646e-08,0.394129747788512,0.188,0.141,0.000156354511254531,0,A930037H05Rik
3.22270337136516e-08,0.613037893125044,0.082,0.052,0.000162488703984231,0,Gm15892
3.24800220651722e-08,0.882592890516706,0.041,0.021,0.000163764271252598,0,Gm11335
3.41055349846924e-08,1.39789026263631,0.019,0.007,0.000171960107392819,0,Gm47761
4.53959605863162e-08,0.234748529991775,0.148,0.105,0.000228886433276206,0,Gm47071
4.55406597997993e-08,0.443315106925481,0.102,0.068,0.000229616006710588,0,Gm30655
4.89920151162631e-08,0.581128263311278,0.099,0.066,0.000247017740216199,0,AI504432
5.40604036138059e-08,0.601685266631418,0.054,0.031,0.000272572555020809,0,Gm38551
6.62747833818766e-08,0.197881582981579,0.347,0.281,0.000334157457811422,0,Gm35188
7.65403467366021e-08,0.445545257994907,0.079,0.05,0.000385916428245948,0,Gm49959
8.21332958024932e-08,0.783334944672026,0.041,0.021,0.000414116077436171,0,Gm52981
